filename,steering_angle
steering_0_00_20250616_211213_005522_000000.png,0.0
steering_0_00_20250616_211213_346892_000001.png,0.0
steering_0_00_20250616_211213_684239_000002.png,0.0
steering_0_00_20250616_211214_031509_000003.png,0.0
steering_0_00_20250616_211214_372215_000004.png,0.0
steering_0_00_20250616_211214_719278_000005.png,0.0
steering_0_00_20250616_211215_062449_000006.png,0.0
steering_0_00_20250616_211215_400220_000007.png,0.0
steering_0_00_20250616_211215_745044_000008.png,0.0
steering_0_00_20250616_211216_092216_000009.png,0.0
steering_0_00_20250616_211216_430377_000010.png,0.0
steering_0_00_20250616_211216_778177_000011.png,0.0
steering_0_00_20250616_211217_117088_000012.png,0.0
steering_0_00_20250616_211217_464167_000013.png,0.0
steering_0_00_20250616_211217_808688_000014.png,0.0
steering_0_00_20250616_211218_142825_000015.png,0.0
steering_0_00_20250616_211218_487194_000016.png,0.0
steering_0_00_20250616_211218_833766_000017.png,0.0
steering_0_00_20250616_211219_187770_000018.png,0.0
steering_0_00_20250616_211219_521256_000019.png,0.0
steering_0_00_20250616_211219_859880_000020.png,0.0
steering_0_00_20250616_211220_197354_000021.png,0.0
steering_0_00_20250616_211220_542569_000022.png,0.0
steering_0_00_20250616_211220_893046_000023.png,0.0
steering_0_00_20250616_211221_237415_000024.png,0.0
steering_0_00_20250616_211221_584680_000025.png,0.0
steering_0_00_20250616_211221_935371_000026.png,0.0
steering_0_00_20250616_211222_280139_000027.png,0.0
steering_0_00_20250616_211222_620647_000028.png,0.0
steering_0_00_20250616_211222_967732_000029.png,0.0
steering_0_00_20250616_211223_306782_000030.png,0.0
steering_0_00_20250616_211223_655507_000031.png,0.0
steering_0_00_20250616_211224_001251_000032.png,0.0
steering_0_00_20250616_211224_342310_000033.png,0.0
steering_0_00_20250616_211224_695505_000034.png,0.0
steering_0_00_20250616_211225_038988_000035.png,0.0
steering_0_00_20250616_211225_374300_000036.png,0.0
steering_0_00_20250616_211225_722214_000037.png,0.0
